x,y,time,label
1415,103,1770701887.3483958,human
1411,106,1770701887.3541098,human
1405,110,1770701887.3609073,human
1398,113,1770701887.367727,human
1393,117,1770701887.3741102,human
1388,120,1770701887.3803585,human
1383,126,1770701887.387339,human
1374,131,1770701887.3934824,human
1368,137,1770701887.4003963,human
1361,144,1770701887.407344,human
1354,151,1770701887.413901,human
1346,158,1770701887.4203997,human
1338,164,1770701887.4267764,human
1332,170,1770701887.4334323,human
1326,178,1770701887.4399524,human
1318,184,1770701887.4462152,human
1310,191,1770701887.453575,human
1304,197,1770701887.4596496,human
1296,206,1770701887.4666884,human
1290,211,1770701887.473032,human
1286,215,1770701887.479352,human
1281,220,1770701887.4863255,human
1278,226,1770701887.4923625,human
1273,230,1770701887.4991019,human
1271,233,1770701887.5059402,human
1269,236,1770701887.5121093,human
1265,240,1770701887.5192645,human
1263,243,1770701887.525467,human
1260,247,1770701887.532414,human
1259,249,1770701887.5387833,human
1257,252,1770701887.5449905,human
1253,255,1770701887.552094,human
1251,257,1770701887.5584111,human
1249,259,1770701887.5650678,human
1247,261,1770701887.5716918,human
1246,265,1770701887.5784109,human
1244,267,1770701887.5851588,human
1243,269,1770701887.5915933,human
1242,271,1770701887.59803,human
1240,273,1770701887.6047485,human
1239,274,1770701887.6111453,human
1237,276,1770701887.6177611,human
1236,277,1770701887.6242373,human
1235,279,1770701887.6310122,human
1234,280,1770701887.6374686,human
1234,280,1770701887.6438138,human
1234,282,1770701887.650879,human
1233,284,1770701887.6639514,human
1233,284,1770701887.6702137,human
1232,285,1770701887.6764894,human
1232,287,1770701887.6832795,human
1232,287,1770701887.6901393,human
1231,288,1770701887.6965973,human
1231,289,1770701887.7029624,human
1231,289,1770701887.7092922,human
1231,290,1770701887.716177,human
1231,291,1770701887.7230668,human
1231,292,1770701887.7296028,human
1231,292,1770701887.7357702,human
1231,293,1770701887.7420554,human
1231,294,1770701887.7487152,human
1231,294,1770701887.755712,human
1232,295,1770701887.7624965,human
1232,296,1770701887.7690337,human
1232,297,1770701887.7754211,human
1233,298,1770701887.7819746,human
1234,299,1770701887.7889273,human
1235,300,1770701887.8020132,human
1235,300,1770701887.8085606,human
1237,300,1770701887.8151748,human
1238,301,1770701887.8217738,human
1238,302,1770701887.8280232,human
1240,302,1770701887.8347626,human
1240,302,1770701887.8415878,human
1241,303,1770701887.8480237,human
1242,303,1770701887.854674,human
1243,304,1770701887.8607876,human
1243,304,1770701887.867713,human
1244,304,1770701887.8740335,human
1245,305,1770701887.880878,human
1246,307,1770701887.8872645,human
1247,308,1770701887.89353,human
1248,308,1770701887.900207,human
1249,309,1770701887.907355,human
1250,310,1770701887.9134572,human
1252,311,1770701887.9201853,human
1253,311,1770701887.926418,human
1253,313,1770701887.9335904,human
1254,314,1770701887.9401152,human
1256,315,1770701887.9466157,human
1256,316,1770701887.9529557,human
1257,317,1770701887.9592445,human
1259,317,1770701887.9660726,human
1260,319,1770701887.9727697,human
1260,320,1770701887.9795084,human
1262,321,1770701887.985596,human
1264,322,1770701887.9921162,human
1265,325,1770701887.999094,human
1268,328,1770701888.0057116,human
1270,332,1770701888.0124817,human
1272,336,1770701888.0190263,human
1275,340,1770701888.025288,human
1277,346,1770701888.032102,human
1279,352,1770701888.0387502,human
1280,357,1770701888.0450926,human
1281,361,1770701888.0518734,human
1282,365,1770701888.058484,human
1282,368,1770701888.0651646,human
1282,371,1770701888.0715287,human
1282,376,1770701888.0782053,human
1282,383,1770701888.085134,human
1281,390,1770701888.0916214,human
1279,399,1770701888.0978968,human
1277,406,1770701888.1042817,human
1275,412,1770701888.1106956,human
1271,418,1770701888.1176739,human
1268,425,1770701888.1242707,human
1263,431,1770701888.1309135,human
1258,436,1770701888.137168,human
1253,442,1770701888.1436746,human
1247,451,1770701888.1506164,human
1239,457,1770701888.1572716,human
1233,463,1770701888.1639807,human
1225,474,1770701888.170154,human
1218,483,1770701888.176477,human
1209,493,1770701888.1836138,human
1201,500,1770701888.190322,human
1195,505,1770701888.19692,human
1189,509,1770701888.203215,human
1186,510,1770701888.2093801,human
1184,511,1770701888.2163773,human
1181,511,1770701888.2230098,human
